time alive avgAge maxAge
1 14 1 1
51 14 48 51
101 10 98.3 101
151 9 148 151
201 11 168.36363636363637 201
260 9 197.33333333333334 260
310 9 215 310
360 9 225.77777777777777 360
410 7 270.57142857142856 410
460 7 320.57142857142856 460
510 8 325 510
560 8 375 560
610 8 425 610
660 9 426.6666666666667 660
710 11 392.27272727272725 710
760 11 391.3636363636364 760
810 11 431.54545454545456 810
860 10 523.2 860
910 9 535.7777777777778 910
960 8 549.625 960
1010 9 533.4444444444445 1010
1060 11 483.90909090909093 1060
1110 11 467.6363636363636 1110
1160 12 477.6666666666667 1160
1210 13 487.53846153846155 1210
1260 16 438.9375 1260
1310 16 407.5625 1310
1360 17 383 1360
1410 17 351.52941176470586 1410
1460 18 351.8333333333333 1460
1510 19 371 1510
1560 17 426.4117647058824 1560
1610 20 392.9 1610
1660 23 317.7826086956522 1160
1710 24 337.4166666666667 1210
1760 24 381.9583333333333 1260
1810 24 370.1666666666667 1310
1860 27 322.55555555555554 1160
1910 25 375.4 1210
1960 26 395.0769230769231 1260
2010 24 399.375 1310
2060 21 469.95238095238096 1360
2110 19 536.8421052631579 1410
2160 19 498.1578947368421 1460
2210 18 491.6666666666667 1510
2260 17 482.2352941176471 1381
2310 16 556.9375 1431
2360 19 477.42105263157896 1481
2410 17 530.2941176470588 1531
2460 18 549.2777777777778 1581
2510 18 577.9444444444445 1631
2560 17 641.7058823529412 1681
2610 20 589.65 1731
2660 19 589.0526315789474 1781
2710 18 524.7222222222222 1831
2760 19 534.7368421052631 1881
2810 19 584.7368421052631 1931
2860 17 563.0588235294117 1981
2910 18 578.1111111111111 2031
2960 17 628.6470588235294 2081
3010 16 677.8125 2131
3060 18 647.1666666666666 2181
3110 18 613.9444444444445 1910
3160 18 642.5 1960
3210 23 548.1304347826087 2010
3260 26 501.2307692307692 2060
3310 21 570.7142857142857 2110
3360 22 548.9545454545455 2160
11 14 11 11
61 13 53.69230769230769 61
111 10 108.3 111
161 9 158 161
211 10 175.1 211
270 9 207.33333333333334 270
320 9 225 320
370 9 235.77777777777777 370
420 7 280.57142857142856 420
470 7 330.57142857142856 470
520 8 335 520
570 8 385 570
620 9 386.6666666666667 620
670 9 436.6666666666667 670
720 10 387.3 720
770 11 401.3636363636364 770
820 11 441.54545454545456 820
870 10 533.2 870
920 9 545.7777777777778 920
970 8 559.625 970
1020 10 489.6 1020
1070 11 493.90909090909093 1070
1120 11 477.6363636363636 1120
1170 12 487.6666666666667 1170
1220 13 497.53846153846155 1220
1270 16 448.25 1270
1320 16 417.5625 1320
1370 17 393 1370
1420 18 341.5 1420
1470 18 361.8333333333333 1470
1520 20 362.15 1520
1570 18 412.5 1570
1620 21 383.76190476190476 1620
1670 24 314.5 1170
1720 24 347.4166666666667 1220
1770 25 376.56 1270
1820 23 393.5217391304348 1120
1870 28 320.85714285714283 1170
1920 26 360.5769230769231 1220
1970 25 407.24 1270
2020 24 409.375 1320
2070 21 479.95238095238096 1370
2120 19 536.3157894736842 1420
2170 19 489.2105263157895 1470
2220 18 501.6666666666667 1520
2270 17 492.2352941176471 1391
2320 18 504.3888888888889 1441
2370 18 480.77777777777777 1491
2420 17 540.2941176470588 1541
2470 18 559.2777777777778 1591
2520 18 587.9444444444445 1641
2570 17 651.7058823529412 1691
2620 20 599.65 1741
2670 17 513.5882352941177 1791
2720 19 506.94736842105266 1841
2770 19 544.7368421052631 1891
2820 18 578.2222222222222 1941
2870 16 607.5625 1991
2920 18 588.1111111111111 2041
2970 17 638.6470588235294 2091
3020 16 687.8125 2141
3070 18 657.1666666666666 2191
3120 19 591.2105263157895 1920
3170 21 559.9047619047619 1970
3220 23 558.1304347826087 2020
3270 23 521.5652173913044 2070
3320 22 554.3636363636364 2120
3370 23 534.6521739130435 2170
3420 26 493.2692307692308 2220
3470 25 559.16 2270
21 13 19.846153846153847 21
71 12 64.33333333333333 71
121 10 118.3 121
171 11 138.36363636363637 171
221 10 185.1 221
280 9 217.33333333333334 280
330 9 235 330
380 9 245.77777777777777 380
430 7 290.57142857142856 430
480 7 340.57142857142856 480
530 8 345 530
580 8 395 580
630 9 396.6666666666667 630
680 9 446.6666666666667 680
730 11 361.3636363636364 730
780 10 443.2 780
830 11 451.54545454545456 830
880 10 543.2 880
930 9 555.7777777777778 930
980 8 569.625 980
1030 10 499.6 1030
1080 11 503.90909090909093 1080
1130 12 447.6666666666667 1130
1180 12 497.6666666666667 1180
1230 13 507.53846153846155 1230
1280 16 448.4375 1280
1330 16 421.9375 1330
1380 17 403 1380
1430 18 346.22222222222223 1430
1480 18 371.8333333333333 1480
1530 19 368.1578947368421 1530
1580 19 400.7368421052632 1580
1630 22 375.95454545454544 1630
1680 25 311.64 1180
1730 25 343.44 1230
1780 24 384.8333333333333 1280
1830 23 346.0869565217391 1130
1880 27 342.1111111111111 1180
1930 27 356.9259259259259 1230
1980 25 417.24 1280
2030 24 419.375 1330
2080 20 507.65 1380
2130 20 519.4 1430
2180 19 497.7368421052632 1480
2230 18 511.6666666666667 1530
2280 17 502.2352941176471 1401
2330 17 501.2352941176471 1451
2380 18 490.77777777777777 1501
2430 17 550.2941176470588 1551
2480 18 569.2777777777778 1601
2530 17 611.7058823529412 1651
2580 17 661.7058823529412 1701
2630 20 598.65 1751
2680 18 494.72222222222223 1801
2730 19 516.9473684210526 1851
2780 19 554.7368421052631 1901
2830 17 608.2352941176471 1951
2880 16 617.5625 2001
2930 18 598.1111111111111 2051
2980 17 648.6470588235294 2101
3030 16 697.8125 2151
3080 18 667.1666666666666 2201
3130 19 601.2105263157895 1930
3180 21 569.9047619047619 1980
3230 26 502.65384615384613 2030
3280 22 545.6818181818181 2080
3330 22 524.6363636363636 2130
3380 24 522.375 2180
3430 26 503.2692307692308 2230
41 14 38 41
91 10 88.3 91
141 10 138.3 141
191 11 158.36363636363637 191
241 10 181.9 241
300 10 214.5 300
350 8 243.125 350
400 8 278 400
450 7 310.57142857142856 450
500 7 360.57142857142856 500
550 8 365 550
600 8 415 600
650 9 416.6666666666667 650
700 10 421.3 700
750 11 381.3636363636364 750
800 11 421.54545454545456 800
850 11 471.54545454545456 850
900 10 563.2 900
950 9 504.3333333333333 950
1000 8 589.625 1000
1050 11 473.90909090909093 1050
1100 12 481.75 1100
1150 12 467.6666666666667 1150
1200 12 517.6666666666666 1200
1250 14 490.7857142857143 1250
1300 16 397.5625 1300
1350 17 416.05882352941177 1350
1400 18 400.3333333333333 1400
1450 18 366.22222222222223 1450
1500 19 371.8421052631579 1500
1550 18 402.44444444444446 1550
1600 21 381.23809523809524 1600
1650 23 307.7826086956522 1150
1700 24 327.4166666666667 1200
1750 25 360.64 1250
1800 23 376.0869565217391 1300
1850 26 324.6923076923077 1150
1900 24 380.7916666666667 1200
1950 27 372.51851851851853 1250
2000 24 411.0416666666667 1300
2050 21 459.95238095238096 1350
2100 20 505.1 1400
2150 20 498.55 1450
2200 18 481.6666666666667 1500
2250 18 531.6666666666666 1371
2300 17 522.2352941176471 1421
2350 19 467.42105263157896 1471
2400 18 510.77777777777777 1521
2450 18 539.2777777777778 1571
2500 18 567.9444444444445 1621
2550 17 631.7058823529412 1671
2600 18 644.8333333333334 1721
2650 19 579.0526315789474 1771
2700 18 514.7222222222222 1821
2750 19 524.7368421052631 1871
2800 19 574.7368421052631 1921
2850 18 593.3888888888889 1971
2900 18 568.1111111111111 2021
2950 17 618.6470588235294 2071
3000 16 667.8125 2121
3050 16 717.8125 2171
3100 19 651.3157894736842 1900
3150 18 632.5 1950
3200 21 589.9047619047619 2000
3250 25 511.08 2050
3300 22 565.6818181818181 2100
3350 23 521.7391304347826 2150
3400 25 521.04 2200
3450 26 523.2692307692307 2250
3500 25 532.8 2300
31 14 28 31
81 12 74.33333333333333 81
131 10 128.3 131
181 11 148.36363636363637 181
231 10 195.1 231
290 9 227.33333333333334 290
340 8 233.125 340
390 8 268 390
440 7 300.57142857142856 440
490 7 350.57142857142856 490
540 8 355 540
590 8 405 590
640 9 406.6666666666667 640
690 10 411.3 690
740 11 371.3636363636364 740
790 10 453.2 790
840 11 461.54545454545456 840
890 10 553.2 890
940 10 509.8 940
990 8 579.625 990
1040 11 463.90909090909093 1040
1090 12 471.75 1090
1140 12 457.6666666666667 1140
1190 12 507.6666666666667 1190
1240 14 480.7857142857143 1240
1290 16 458.4375 1290
1340 16 431.9375 1340
1390 18 390.3333333333333 1390
1440 18 356.22222222222223 1440
1490 19 361.8421052631579 1490
1540 18 392.44444444444446 1540
1590 19 410.7368421052632 1590
1640 23 369.4347826086956 1640
1690 25 321.64 1190
1740 25 353.44 1240
1790 24 362.25 1290
1840 24 341.4166666666667 1140
1890 25 358.12 1190
1940 26 376.61538461538464 1240
1990 25 427.24 1290
2040 23 442.4782608695652 1340
2090 20 495.1 1390
2140 19 530.3157894736842 1440
2190 18 471.6666666666667 1490
2240 18 521.6666666666666 1540
2290 17 512.2352941176471 1411
2340 18 482.8888888888889 1461
2390 18 500.77777777777777 1511
2440 18 529.2777777777778 1561
2490 17 591.3529411764706 1611
2540 17 621.7058823529412 1661
2590 18 634.8333333333334 1711
2640 20 608.65 1761
2690 18 504.72222222222223 1811
2740 19 514.7368421052631 1861
2790 19 564.7368421052631 1911
2840 17 618.2352941176471 1961
2890 17 590.9411764705883 2011
2940 17 608.6470588235294 2061
2990 17 658.6470588235294 2111
3040 16 707.8125 2161
3090 18 677.1666666666666 1890
3140 18 622.5 1940
3190 21 579.9047619047619 1990
3240 25 501.08 2040
3290 22 555.6818181818181 2090
3340 23 511.7391304347826 2140
3390 24 532.375 2190
3440 26 513.2692307692307 2240
3410 24 524.125 2210
3460 26 533.2692307692307 2260
3520 26 531.9230769230769 2320
3480 25 569.16 2280
3490 24 544.75 2290
3550 27 534.074074074074 2350
3540 26 544.5769230769231 2340
3510 25 542.8 2310
3530 26 534.5769230769231 2330
3570 29 516.4827586206897 2370
3560 28 524.6428571428571 2360
3580 29 526.4827586206897 2380
3600 29 533.7241379310345 2400
3590 28 542.7142857142857 2390
3620 28 523.5 2420
3630 27 550.7407407407408 2430
3650 27 570.7407407407408 2450
3610 28 547.4285714285714 2410
3670 29 524.1379310344828 2470
3660 28 532.6785714285714 2460
3640 27 560.7407407407408 2440
3720 29 574.1379310344828 2520
3700 30 535.7333333333333 2500
3680 29 534.1379310344828 2480
3690 29 544.1379310344828 2490
3770 25 583.56 2570
3710 29 564.1379310344828 2510
3750 28 585.6071428571429 2550
3740 29 574.2413793103449 2540
3730 29 584.1379310344828 2530
3820 20 578.45 2620
3780 24 596.4166666666666 2580
3760 26 561.1153846153846 2560
3790 21 554.4285714285714 2590
3800 22 539.1818181818181 2600
3870 23 550.6086956521739 2670
3830 22 535.5454545454545 2630
3810 22 537.6363636363636 2610
3850 22 555.5454545454545 2650
3920 24 563.4166666666666 2720
3860 22 565.5454545454545 2660
3840 22 545.5454545454545 2640
3900 25 535.28 2700
3880 23 560.6086956521739 2680
3890 25 525.28 2690
3950 24 593.4166666666666 2750
3910 24 553.4166666666666 2710
3930 24 573.4166666666666 2730
3970 25 576.88 2770
3940 24 583.4166666666666 2740
3960 24 590.7916666666666 2760
4020 23 494.95652173913044 2180
4000 22 497.3636363636364 2160
3980 25 580.84 2780
4070 23 522.6086956521739 2230
4050 25 483.64 2210
4030 23 504.95652173913044 2190
3990 24 608.6666666666666 2790
4010 22 507.3636363636364 2170
4120 26 372.65384615384613 1370
4040 24 493.75 2200
4080 26 471.84615384615387 2240
4100 27 405.48148148148147 2260
4060 25 493.64 2220
4170 23 351.6521739130435 1420
4150 23 331.6521739130435 1400
4090 27 395.55555555555554 2250
4130 25 297.28 1380
4110 27 389.0740740740741 2270
4200 24 329.7083333333333 1450
4140 24 309.375 1390
4220 24 349.7083333333333 1470
4180 22 338.95454545454544 1430
4160 23 341.6521739130435 1410
4270 24 368.5833333333333 1020
4190 23 333.95652173913044 1440
4210 24 339.7083333333333 1460
4320 25 386.88 1000
4240 23 353.3478260869565 990
4260 24 358.5833333333333 1010
4370 25 392.68 1050
4290 23 394.3478260869565 1040
4250 24 348.5833333333333 1000
4300 23 400.2608695652174 1050
4230 23 343.3478260869565 980
4280 24 378.5833333333333 1030
4350 24 388.625 1030
4310 23 410.2608695652174 1060
4420 22 431.72727272727275 1100
4340 24 378.625 1020
4330 24 368.625 1010
4400 25 393.12 1080
4360 25 382.68 1040
4470 22 446.40909090909093 1150
4390 27 382.7037037037037 1070
4450 23 427.2173913043478 1130
4380 26 387.3076923076923 1060
