time alive avgAge maxAge
1 14 1 1
520 8 335 520
1030 10 499.6 1030
1600 21 381.23809523809524 1600
2090 20 495.1 1390
4000 22 497.3636363636364 2160
4790 26 357.38461538461536 1380
5560 21 444.04761904761904 1140
6450 25 559.28 2030
6980 32 485.4375 2000
8010 24 389.875 1140
8810 29 543.9655172413793 1550
9380 29 602.5172413793103 1850
10390 38 463.6578947368421 1770
11420 37 448.8378378378378 2100
11940 51 412.6470588235294 2620
12760 42 422.76190476190476 1870
13650 39 412.56410256410254 1930
14450 39 563.5641025641025 1990
15190 40 475.125 1600
15990 31 497.7741935483871 1650
17020 38 373.7105263157895 1340
17540 31 443.2258064516129 1600
18360 50 447.86 1910
19250 27 507.7037037037037 1840
19940 46 390.2173913043478 1720
20740 38 515.3947368421053 1370
21540 36 473.72222222222223 1760
22310 43 411.86046511627904 1490
23250 42 409.54761904761904 1880
23910 47 411.9148936170213 1660
25070 36 593.0277777777778 1960
25380 43 436.6744186046512 1510
26260 34 424.52941176470586 1450
27060 36 459.4166666666667 2020
27830 40 563.05 2690
28850 29 459.44827586206895 1220
29430 40 436.65 1290
30450 32 539.0625 1430
30980 33 465.57575757575756 1480
32100 33 414.4848484848485 1150
33020 29 490.41379310344826 1630
33510 28 546.9642857142857 1690
34180 44 457.45454545454544 2360
35110 53 427.24528301886795 1290
35940 31 506.35483870967744 1100
37020 38 439.8421052631579 1560
37540 32 501.59375 1380
38230 28 588.1785714285714 1860
39420 22 467.09090909090907 1470
39910 24 447.875 1310
41020 28 584.1785714285714 1740
41430 25 518.28 1110
42260 45 459.0888888888889 1470
43060 35 414.2 1250
43830 42 506.5952380952381 1480
44700 42 540.7142857142857 2220
45770 42 475.85714285714283 1440
46390 30 568.5 1810
47190 41 515.170731707317 2270
47800 33 466.030303030303 1520
48600 28 705.7857142857143 1920
49400 29 675.8275862068965 1850
50200 40 489.1 2300
51190 38 391.05263157894734 2130
51830 32 420.1875 1370
52910 43 510.51162790697674 2030
53380 40 549.25 1680
54180 32 686.15625 2090
54980 45 480.8222222222222 2770
55800 41 405.1951219512195 1180
56650 53 408.9811320754717 1800
57870 34 554.7058823529412 1370
58130 44 503.52272727272725 1630
59470 48 360.2291666666667 1300
60060 32 549.125 1850
60860 36 571.75 1810
61660 32 629.84375 2150
62250 28 638.4285714285714 2740
63470 43 419.93023255813955 1640
64060 40 508.675 1710
64650 33 513.969696969697 2300
65450 38 453.1842105263158 1910
66241 30 481.96666666666664 1901
67411 33 469.3333333333333 1611
67841 32 448.5625 2041
